"sub","alpha_mean_AL00_multiVar_LKJ","alpha_median_AL00_multiVar_LKJ","beta_mean_AL00_multiVar_LKJ","beta_median_AL00_multiVar_LKJ","log_lik_AL00_multiVar_LKJ","waic_AL00_multiVar_LKJ"
23,0.0406302937223333,0.0280478,7.7542818725,4.468215,-88.1994232,177.845540108726
24,0.228062762368333,0.2126315,33.3087941266667,22.39335,-3.95788540333333,9.66365698389004
25,0.3058080858545,0.1376585,2.51527069633333,1.84125,-84.7560003666667,170.735862981719
26,0.714557244333333,0.701016,2.3342015185,2.314935,-67.1231896166667,135.602360748971
27,0.030863493556,0.021563,8.99992610383333,4.975075,-75.3852121833333,152.059857784288
28,0.177600121995238,0.01322015,3.54331059900333,0.9745075,-97.4934131333333,195.478143642712
29,0.121128295641667,0.1057655,3.240318535,3.076955,-48.9573746666667,99.6212662714055
30,0.350116976502683,0.3042805,1.6258950334,0.952301,-91.45410415,183.957365856876
31,0.966905670333333,0.977113,1.74171598683333,1.730975,-72.5382970166667,146.635180933248
32,0.919020127583333,0.9316645,9.40432771333333,9.23893,-24.51789165,50.90235996867
33,0.134513517848099,0.0218582,4.12797924046667,1.71004,-95.8190650666667,192.176217174311
34,0.495881458964006,0.525322,1.45157310513333,0.456612,-96.0510339,193.132405445876
35,0.220007397883333,0.219748,2.626096905,2.59156,-56.0454754333333,113.622402467284
36,0.0869670649916667,0.08544465,1.788697704,1.76354,-64.2957501,130.296279972302
37,0.77487773465,0.8276395,6.78797462166667,6.740955,-29.8845785833333,61.8665371014181
38,0.348880973307342,0.125122,2.314390688375,0.572013,-97.0404218166667,194.594325726046
39,0.0136949348108333,0.0115013,13.2541817875,8.173635,-81.4024679166667,164.226138262402
40,0.311355665790272,0.107005,2.19277192619,0.506779,-96.5313733833333,193.52219322176
41,0.54247305745262,0.613074,1.85355633122,0.4795355,-95.1369654166667,191.683966709972
42,0.0571681361445117,0.02452785,4.81936584108333,2.211905,-94.9578016,190.875109639743
43,0.30579978154286,0.035829,2.55492636047567,0.5519695,-97.3666885,195.245337817866
44,0.209403986401822,0.0366974,2.79378143379,0.8660275,-97.2864578666667,194.913042287699
45,0.0325543148944833,0.0167287,8.40239928166667,4.273715,-87.7287277666667,177.214270738267
46,0.0863614175404667,0.0760684,2.59932751496667,1.521475,-92.8956281333333,187.204297391882
47,0.0912582034626373,0.0400472,3.02329675448333,1.12483,-93.3015770833333,187.733213267376
48,0.10732339483365,0.1041025,1.36273678933333,0.9798825,-86.8666383833333,175.511014285348
49,0.0308289930686667,0.0262138,16.2918202733333,10.60985,-32.7998407,66.6665495319044
50,0.512645082980632,0.539206,1.13076139518,0.556912,-93.78087995,188.650732072069
51,0.754063968225,0.768646,1.00378563016667,0.9345305,-84.18529245,169.589491475483
52,0.273555553800845,0.1059095,3.87491796436667,1.0752,-94.09548915,188.843782280893
53,0.0113962385856833,0.008963035,12.8330964241667,7.40192,-83.5473573,168.890806894248
54,0.212174382426667,0.1814535,12.9901743766667,9.007455,-11.2084552666667,23.35298237493
55,0.37019154175,0.347979,1.8249465935,1.81559,-80.8193198,163.364075097335
56,0.226046092851667,0.07290725,3.37329392966667,2.688215,-89.4122982333333,180.479089413599
57,0.0497750938644167,0.04297055,4.10161487683333,2.423435,-85.0514965833333,171.511543038269
58,0.103419122848333,0.08571395,1.87364904025,0.886908,-92.0193400166667,185.674140250478
59,0.171231380243333,0.171441,3.87861730166667,3.813885,-68.8633487166667,139.557008318002
60,0.0134052134326667,0.0111014,19.07425925,12.01445,-71.1687729666667,144.042076955123
61,0.695107135683,0.7051515,0.870933240166667,0.828915,-80.2072186166667,161.882502770792
62,0.212360608160333,0.101175,4.6153811,4.06958,-36.7632624,75.0848559949394
63,0.167447795516667,0.1656325,1.9043642225,1.8877,-72.20662485,146.071043641117
64,0.0695317334066667,0.0697175,2.98446005166667,2.92193,-58.8822521833333,119.34081511949
