"sub","alpha_mean_AL00_multiVar_LKJ","alpha_median_AL00_multiVar_LKJ","beta_mean_AL00_multiVar_LKJ","beta_median_AL00_multiVar_LKJ","log_lik_AL00_multiVar_LKJ","waic_AL00_multiVar_LKJ"
1,0.219815812145252,0.01559105,3.33704398146167,0.8191985,-97.5726983166667,195.714214173679
2,0.813095587666667,0.815263,1.91972825483333,1.89834,-78.5119897333333,158.159569817734
3,0.70881915245,0.7986365,1.31809355233333,1.161865,-85.6062267833333,172.462428627499
4,0.894514515016667,0.921393,1.73819146466667,1.647015,-59.21238245,120.236331397336
5,0.278669449673302,0.1328465,1.95984982541167,0.5411555,-96.56393185,193.612013254391
6,0.131674285441833,0.1210855,1.83276263133333,1.465695,-85.7355409166667,172.9478111556
7,0.909892177333333,0.9305755,1.33099202083333,1.311,-82.0536308166667,165.36261109335
8,0.132483939016032,0.059792,2.91281168388333,1.251605,-94.59394555,190.084453093006
9,0.118819152227167,0.118552,2.25295086666667,2.16981,-68.1532291833333,138.030757244931
10,0.371191716171333,0.139903,9.09583478166667,7.55298,-18.4542240833333,38.1058253881118
11,0.013505418728,0.01107225,21.5163855366667,13.42535,-82.8416345333333,167.689104385436
12,0.1410042460595,0.1408455,1.8658034635,1.75702,-78.5040563833333,158.790372322854
13,0.665959500508333,0.815873,22.424460095,19.94165,-8.97936806666667,25.0463976386398
14,0.717802362900783,0.7853105,0.584630023366667,0.5015375,-92.5534785833333,186.598895182468
15,0.582765453751607,0.831163,1.580678580795,0.3778905,-96.41001295,194.49320350067
16,0.2256030676,0.2219215,2.776023315,2.75638,-51.8955313333333,105.250833583442
17,0.959842218,0.9711875,13.3817257316667,12.96685,-19.1603229,40.7214421163152
18,0.04137949353515,0.0382456,5.11882097666667,3.50647,-79.8439106666667,160.734466838708
19,0.0894438979455405,0.01143675,3.85968775362167,1.413895,-96.7335708166667,193.930071163791
20,0.0408913688818333,0.03370055,11.6855286916667,7.44763,-24.8923498833333,50.8889108378789
21,0.139980218073451,0.01418685,3.657166376675,0.9477655,-96.8764287333333,194.104684073361
22,0.0388355346113333,0.0349531,4.30478877333333,2.841735,-85.60767395,172.368079493931
