date,time,amazonID,exp_condition,isLeftRisky,indivOrGroup,riskDistributionId,groupSize,room,confirmationID,subjectNumber,round,choice,payoff,totalEarning,socialFreq_safe,socialFreq_risky,behaviouralType,timeElapsed,latency,socialInfo_00,socialInfo_01,socialInfo_02,socialInfo_03,socialInfo_04,socialInfo_05,socialInfo_06,socialInfo_07,socialInfo_08,socialInfo_09,socialInfo_10,socialInfo_11,publicInfo_00,publicInfo_01,publicInfo_02,publicInfo_03,publicInfo_04,publicInfo_05,publicInfo_06,publicInfo_07,publicInfo_08,publicInfo_09,publicInfo_10,publicInfo_11
2020-8-20,10:6:32,5d5ef53ea55e6a0016d2cae4,binary,true,0,6,1,08200953_sessionIndiv_217,LonhHHxV-RCBQVdGAACS,1,36,sure,153,6712,1,0,choice,68552,0,sure,,,,,,,,,,,,150,,,,,,,,,,,
2020-8-20,10:6:33,5f1eb18d95cef9000a17e468,binary,true,0,6,1,08200953_sessionIndiv_218,r4BFviitZq8Td3_2AACQ,1,44,sure,143,6635,1,0,choice,69872,0,sure,,,,,,,,,,,,144,,,,,,,,,,,
2020-8-20,10:6:33,5e8dbac020456a04742b3403,binary,false,0,6,1,08200953_sessionIndiv_219,8G1dzbOcNXtlV_mgAACR,1,7,risky,46,842,0,1,choice,69540,0,risky,,,,,,,,,,,,49,,,,,,,,,,,
2020-8-20,10:6:34,5d5ef53ea55e6a0016d2cae4,binary,true,0,6,1,08200953_sessionIndiv_217,LonhHHxV-RCBQVdGAACS,1,37,sure,146,6858,1,0,choice,71042,0,sure,,,,,,,,,,,,153,,,,,,,,,,,
2020-8-20,10:6:35,5f1eb18d95cef9000a17e468,binary,true,0,6,1,08200953_sessionIndiv_218,r4BFviitZq8Td3_2AACQ,1,45,sure,145,6780,1,0,choice,72153,0,sure,,,,,,,,,,,,143,,,,,,,,,,,
2020-8-20,10:6:37,5d5ef53ea55e6a0016d2cae4,binary,true,0,6,1,08200953_sessionIndiv_217,LonhHHxV-RCBQVdGAACS,1,38,risky,50,6908,1,0,choice,74131,0,sure,,,,,,,,,,,,146,,,,,,,,,,,
2020-8-20,10:6:37,5f1eb18d95cef9000a17e468,binary,true,0,6,1,08200953_sessionIndiv_218,r4BFviitZq8Td3_2AACQ,1,46,risky,48,6828,1,0,choice,74522,0,sure,,,,,,,,,,,,145,,,,,,,,,,,
2020-8-20,10:6:35,5ecf408d36fa30376aeeab1b,binary,false,1,6,6,08200953_session_200,NrhGPw2vqZpQdR5EAABu,1,40,sure,149,5354,2,4,choice,72313,0,risky,sure,risky,sure,risky,risky,,,,,,,53,155,563,148,43,52,,,,,,
2020-8-20,10:6:38,5da9bc8ef91d670014c12a9c,binary,false,1,6,6,08200953_session_200,xyz8cRIT746AlDQ5AACG,3,40,risky,52,6728,2,4,choice,74778,0,risky,sure,risky,sure,risky,risky,,,,,,,53,155,563,148,43,52,,,,,,
2020-8-20,10:6:33,5e57e14bbb69b3197fcf242b,binary,false,1,6,6,08200953_session_200,wSAZWMgEh3Pg273pAACM,7,40,risky,540,8901,2,4,choice,69684,0,risky,sure,risky,sure,risky,risky,,,,,,,53,155,563,148,43,52,,,,,,
2020-8-20,10:6:34,5f1d9627f89919000a375c6f,binary,false,1,6,6,08200953_session_200,vPYu8tPJMq7DwzCjAACL,4,40,sure,146,7777,2,4,choice,70929,0,risky,sure,risky,sure,risky,risky,,,,,,,53,155,563,148,43,52,,,,,,
2020-8-20,10:6:40,58a9dcd132c2cc0001cd2a62,binary,false,1,6,6,08200953_session_200,VTEgkcP5U6FLAyOHAACN,8,40,risky,60,5906,2,4,choice,76642,0,risky,sure,risky,sure,risky,risky,,,,,,,53,155,563,148,43,52,,,,,,
