"sub","alpha_mean_SL00_multiVar_LKJ","alpha_median_SL00_multiVar_LKJ","beta_mean_SL00_multiVar_LKJ","beta_median_SL00_multiVar_LKJ","soc_mean_SL00_multiVar_LKJ","soc_median_SL00_multiVar_LKJ","theta_mean_SL00_multiVar_LKJ","theta_median_SL00_multiVar_LKJ","log_lik_SL00_multiVar_LKJ","waic_SL00_multiVar_LKJ"
1,0.104144056376667,0.0943699,10.2400362144444,8.40908,0.035274154829,0.0305027,2.76483190228267,2.620555,-15.0142181888889,31.4042685878173
2,0.283064810864444,0.216383,10.4248266266667,6.85858,0.0697204427806667,0.05790645,0.303801099598111,-0.261698,-23.802237,49.8534596296486
3,0.278760478903333,0.074227,4.50547859111111,3.852345,0.327982299819722,0.2701745,2.20612834430444,1.954515,-48.5780232222222,99.1452547044706
4,0.4452826555,0.4443535,2.82614841888889,2.76198,0.144058506597778,0.135062,2.49828006159122,2.33647,-68.7630671444444,139.946865138516
5,0.707048075,0.7140395,26.17722592,23.31715,0.0907133134964444,0.08166365,1.88660439229556,1.7769,-20.8995130333333,45.5449220847509
6,0.0629774377434444,0.0426503,3.09536230988889,2.09265,0.0746504071478889,0.0468348,1.89295832438801,1.466035,-92.3579267,185.849202918778
7,0.241019594012222,0.2053195,20.1642349888889,16.1626,0.0105632095747278,0.00679394,2.05260405901411,1.991845,-4.07582523333333,9.67390084828141
8,0.111498081404444,0.09812485,9.55836754,7.31912,0.0365895782785556,0.029818,2.20690686784889,1.952005,-21.5652978444444,44.6877127688054
9,0.225416194111111,0.2233625,3.51627233444444,3.37286,0.0778182902742333,0.06395365,0.800355382154667,0.532837,-54.8850027888889,111.999259597354
10,0.0265511298643333,0.0213971,4.96088460188889,3.90701,0.103908602846924,0.06166435,2.25281056691289,2.072655,-82.1620135222222,165.522132262937
11,0.124450203285556,0.1064775,12.8169013344444,9.689485,0.0466996733098889,0.04159215,3.20735346103333,2.90385,-20.8166113444444,43.0525698791893
12,0.329937074243333,0.265815,1.57069594898889,1.11962,0.399281046132444,0.3775495,-0.824339491146667,-0.680376,-86.1936303888889,175.691375159069
13,0.342262185863,0.2033715,2.76801906145556,1.990365,0.892099368555556,0.9238115,-1.22047621544444,-1.06982,-61.2547609333333,124.211056759272
14,0.192811665702222,0.189691,8.19040754111111,7.16099,0.287921348948889,0.2834185,0.709653196378222,0.605092,-67.4907741666667,140.582626386254
15,0.667192262965556,0.6705925,3.383540827,2.595155,0.312135749047556,0.297828,-0.001611260165,-0.237429,-90.0975882,182.520358278788
16,0.381349146911111,0.36232,8.12040356666667,6.45086,0.225388158573333,0.2221705,1.63358987224444,1.401355,-41.0227143333333,84.4174239790229
17,0.0280547566833333,0.0238367,9.90682116222222,8.00562,0.0145489644569056,0.008062935,2.18048356285546,2.02703,-45.6810325888889,92.9014454515624
18,0.587156964555556,0.5872415,18.8650576077778,16.41095,0.0925057592622222,0.08682415,-0.300367789805878,-0.2763775,-28.0906563,60.3202661797309
19,0.0659236431226667,0.05816225,3.16346123477778,2.46829,0.131425088978222,0.09717745,0.133483376117611,-0.451896,-88.7721947888889,179.899994917968
20,0.0386968833701111,0.0312145,2.95775078577778,2.0914,0.0817953128082111,0.0622457,2.63483417953963,2.504745,-89.1843288333333,179.56987190344
21,0.587091394888889,0.5850475,3.94752422111111,3.812575,0.0808526231371111,0.0690109,1.44440753435489,1.35831,-56.8631249,115.774031082538
22,0.404941260172778,0.3375775,3.33042118833333,2.31505,0.807862267555556,0.863057,-0.683815270888889,-0.5658805,-86.1949035666667,173.934958688342
