"indivOrGroup","variation_level","hot_stove_susceptibility","sigma","theta","mean_proportionSafeChoice","median_proportionSafeChoice_raw","sd_proportionSafeChoice_raw","hot_stove_susceptibility_slided"
"Group",1,4,0.3,2,0.43832325388474,-0.247969838823527,0.860349901316649,3.99516161724549
"Group",2,4,0.3,1.5,0.437784331219295,-0.250159133924472,0.806217374899343,3.99313073728553
"Group",2,4,0.3,1.75,0.438018799370462,-0.249206568104583,0.830094609665221,3.98824585070684
"Group",2,4,0.3,2,0.436114262173671,-0.25694736024635,0.860431597161695,3.99468339166052
"Group",2,4,0.3,2.25,0.436316276984964,-0.256125933110891,0.870051872590656,4.00905485586366
"Group",2,4,0.3,2.5,0.435706763748913,-0.258604581946183,0.890572166935256,3.99529392002652
"Group",3,4,0.3,0,0.445160116374851,-0.220245544622471,0.444548234348621,3.98971188392432
"Group",3,4,0.3,1.8,0.427426489193825,-0.292358811851627,0.604568271481878,4.00575901897993
"Group",3,4,0.3,2.2,0.425944853517229,-0.298415579664282,0.62552685399923,4.00136187514777
"Group",3,4,0.3,2.8,0.425603797437118,-0.29981054603787,0.634125062350997,4.01303291367682
"Group",3,4,0.3,3.2,0.424578956584858,-0.304004034773413,0.648961889214192,4.00641199201515
"Group",4,4,0.3,0,0.445342099828481,-0.219508777130589,0.441474661820826,4.01528882577444
"Group",4,4,0.3,0.5,0.431066042088194,-0.277503052182966,0.471401495247715,3.99180212340612
"Group",4,4,0.3,0.8,0.426147360498501,-0.297587434635617,0.488273793076099,3.98912152387107
"Group",4,4,0.3,1.2,0.423622521638577,-0.307920010885204,0.504228389174345,4.00728302679033
"Group",4,4,0.3,7.5,0.413616383892121,-0.349035275091746,0.538280561346014,3.99961841258109
"Group",5,4,0.3,-1,0.467899559990154,-0.128578611053909,0.456857178103344,4.01363279070769
"Group",5,4,0.3,0.5,0.431008646528687,-0.277737086548637,0.46795094750619,3.99704960285319
"Group",5,4,0.3,2,0.422229149400866,-0.313629163094367,0.512398306861057,4.00251979034039
"Group",5,4,0.3,3.5,0.417659796864659,-0.332387600380089,0.534222289750091,4.00371024211298
"Group",5,4,0.3,5,0.418185356592652,-0.330227143827047,0.539607169036558,4.01330394230286
"Individual",1,4,0,0,0.943917543012685,2.82321575987563,3.24850266234308,3.99798666729718
